"Time";"NumberOfMessagesDeleted_Sum";"NumberOfMessagesReceived_Sum";"NumberOfMessagesSent_Sum"
"2018-10-18T12:26:00+08:00";3,686;3,691;3,676
"2018-10-18T12:33:00+08:00";3,484;3,483;3,478
"2018-10-18T12:40:00+08:00";9,416;9,418;9,401
"2018-10-18T12:47:00+08:00";5,438;5,435;5,433
"2018-10-18T12:54:00+08:00";10,960;10,967;10,957
"2018-10-18T13:01:00+08:00";5,345;5,335;5,323
"2018-10-18T13:08:00+08:00";6,548;6,552;6,844
"2018-10-18T13:15:00+08:00";15,006;15,009;14,700
"2018-10-18T13:22:00+08:00";6,293;6,291;6,282
"2018-10-18T13:29:00+08:00";13,092;13,094;13,078
"2018-10-18T13:36:00+08:00";6,128;6,124;6,123
"2018-10-18T13:43:00+08:00";5,760;5,759;5,749
"2018-10-18T13:50:00+08:00";7,837;7,836;7,823
"2018-10-18T13:57:00+08:00";3,971;3,972;3,965
"2018-10-18T14:04:00+08:00";10,572;10,569;10,687
"2018-10-18T14:11:00+08:00";7,174;7,175;8,904
"2018-10-18T14:18:00+08:00";7,038;7,041;9,378
"2018-10-18T14:25:00+08:00";11,505;11,506;7,288
"2018-10-18T14:32:00+08:00";5,157;5,160;5,150
"2018-10-18T14:39:00+08:00";10,724;10,720;10,704
"2018-10-18T14:46:00+08:00";5,602;5,606;5,592
"2018-10-18T14:53:00+08:00";5,582;5,578;5,580
"2018-10-18T15:00:00+08:00";11,042;11,039;11,025
"2018-10-18T15:07:00+08:00";6,261;6,265;6,518
"2018-10-18T15:14:00+08:00";14,463;14,466;14,186
"2018-10-18T15:21:00+08:00";5,980;5,977;5,970
"2018-10-18T15:28:00+08:00";6,097;6,098;6,091
"2018-10-18T15:35:00+08:00";11,098;11,100;11,087
"2018-10-18T15:42:00+08:00";5,426;5,422;5,415
"2018-10-18T15:49:00+08:00";10,867;10,866;10,856
"2018-10-18T15:56:00+08:00";5,246;5,250;5,241
"2018-10-18T16:03:00+08:00";5,057;5,054;5,046
"2018-10-18T16:10:00+08:00";12,730;12,733;13,266
"2018-10-18T16:17:00+08:00";5,882;5,879;5,328
"2018-10-18T16:24:00+08:00";11,933;11,937;13,062
"2018-10-18T16:31:00+08:00";6,822;6,815;8,214
"2018-10-18T16:38:00+08:00";8,008;8,020;8,686
"2018-10-18T16:45:00+08:00";16,082;16,080;14,571
"2018-10-18T16:52:00+08:00";7,727;7,724;7,302
"2018-10-18T16:59:00+08:00";14,340;14,339;13,017
"2018-10-18T17:06:00+08:00";6,131;6,136;6,365
"2018-10-18T17:13:00+08:00";7,928;7,920;8,116
"2018-10-18T17:20:00+08:00";13,098;13,100;12,641
"2018-10-18T17:27:00+08:00";6,493;6,494;7,247
"2018-10-18T17:34:00+08:00";12,954;12,957;12,192
"2018-10-18T17:41:00+08:00";5,694;5,693;5,687
"2018-10-18T17:48:00+08:00";4,346;4,343;4,330
"2018-10-18T17:55:00+08:00";10,281;10,279;10,277
"2018-10-18T18:02:00+08:00";5,502;5,501;5,485
"2018-10-18T18:09:00+08:00";13,554;13,560;15,438
"2018-10-18T18:16:00+08:00";7,769;7,770;8,190
"2018-10-18T18:23:00+08:00";7,800;7,797;7,727
"2018-10-18T18:30:00+08:00";15,585;15,588;20,222
"2018-10-18T18:37:00+08:00";7,863;7,863;11,007
"2018-10-18T18:44:00+08:00";14,823;14,821;21,062
"2018-10-18T18:51:00+08:00";7,976;7,971;9,019
"2018-10-18T18:58:00+08:00";7,990;7,992;11,092
"2018-10-18T19:05:00+08:00";15,471;15,472;24,919
